ELMO2
MMP2
ERCC5
PDCL3
DECR1
BRIX1
LMAN1
SUMO1
UQCR11
DDB1
ZEB1
MIER1
TOB2
INIP
BANK1
PROSC
CXCL13
SORL1
CHD1
SERPINF1
TAOK3
STK25
MAP1LC3C
ABCD4
SLC25A46
LARP7
PHF20
GTPBP1
PDCD4
CST7
SELL
CIAO1
LTBP4
STK17A
CD38
ZDHHC6
EXOSC7
GYPC
RNF4
GRB2
GCC2
RARRES3
PMF1
CRELD2
CD82
C11orf73
SEC14L1
CHFR
NDUFS4
C9orf16
ERBB2IP
FUS
CXorf56
ELAC2
POLR2J
UQCRC1
METTL21A
ASNSD1
ARAP1
GSTP1
SLC9A3R1
CHMP7
UBE2W
OSGEP
PRPF3
RBM6
CYSTM1
KRCC1
POLD2
ETFA
ZNF146
CASC4
AKIRIN1
DNAJC9
DCTN1
C1QBP
TCP1
TMED7
ASTN2
GPATCH8
DNAJB4
SERP1
RAB5A
DCAF11
XAF1
THOC7
GLIPR2
PLRG1
SPG7
ZMYM6NB
PPID
UBE2J1
SAFB2
GPX4
RABGGTB
ANKRD40
CALCOCO2
CDK16
KLRC4
BSDC1
WSB1
PSMB8
SDR39U1
TBCCD1
AP2S1
VAT1
TUFM
SGSM3
TOMM22
SOCS3
POP4
RUVBL2
ISCA1
RDH11
ABHD14B
PIGT
FOXO1
CRLF3
CCDC28A
PYURF
TSEN54
ZC3H14
CRTAP
BLVRB
BANF1
NDUFB3
CHTOP
ARMCX3
ARHGDIB
AK1
UCKL1
COX16
RBM4B
PPP1R15A
RB1CC1
EIF4E
EXOC4
EMB
USP15
COMMD1
PDLIM1
CLIC4
ALOX5AP
BIRC6
TACC1
SAMHD1
MDM2
CAPNS1
KLHDC3
CYB5B
TESPA1
ZFP36L1
TMEM175
PCNP
LAT
CD28
2-Sep
PSD4
SEC61G
ANKRD36
RTCA
FAM134C
RBBP7
NCOR1
TXNRD1
CWC22
ARF5
CCT3
SLC3A2
PSMD10
NUDT16L1
SYT11
LRMP
BHLHE40
IST1
P2RY10
DDX21
ADAR
TM9SF2
MED15
UNC50
C21orf33
IRF2
BRE
TBC1D22A
LAMTOR4
POLR2J3
NOL7
ICAM3
TAF8
MAN2B2
CHP1
ACAP2
GUCD1
TBC1D15
MRPS21
NONO
ITCH
MBP
NDUFA12
CHURC1
HDAC1
NEK9
CHRM3
ASF1A
SNRPB2
ERICH1
RPN2
CTSO
TERF1
KIF22
NINJ1
VAMP7
HLA-C
RSF1
PDK3
CASP4
TPR
BRD3
UGT8
CYR61
C1orf86
TMOD3
KTN1
TMEM147
RCN2
STARD7
SHMT2
UQCRH
SDHA
DRG2
SAFB
ANKZF1
SENP5
LBR
IL2RG
GMPR2
MAP4
EIF4EBP2
IER2
MRPL4
SLC25A37
SMARCC2
CCDC12
C20orf24
IRF2BP2
MSN
SLX1B
ARHGAP17
RGS16
STAG2
LRTOMT
CD55
NUP93
ATP6V0B
ZBTB38
FBLIM1
DOCK8
MRPL33
RNASEK
TMEM66
LEPRE1
MRPL12
R3HDM4
TIPARP
PDE6D
DUSP2
SECISBP2
PAG1
GNG10
GPCPD1
RAB14
CDK2AP2
COMMD7
CXXC1
CD40
DYNC1LI2
GDI1
PIH1D1
EFTUD2
HSPB11
MED10
ARHGAP4
UFD1L
SCD5
ARMC8
MTRNR2L6
TMEM230
EGR1
CD58
PSMC6
TRAT1
ITGB7
CHKB
HUWE1
TMPO
GTF2F2
PPHLN1
MAP3K8
EFCAB14
TMEM14A
YY1AP1
GGPS1
MRPL20
PPP2R5C
CAPG
MPZL1
MAD1L1
MTCH1
HK1
CDC26
POLR3E
RBL2
PPP1R10
CSE1L
TOM1
MRPL50
STYX
7-Mar
RIOK3
MRPS26
HIAT1
PELI1
PPT1
SLC35C2
NUP50
CCDC130
RQCD1
PLEKHF2
DIMT1
OASL
IFRD1
WDFY1
ZNF267
TXNIP
RAP2B
CAMK2G
HMGB2
TOPORS
CASP3
KCTD20
RGS2
NAPA
NDUFV3
PPP1R2
FOSL2
TUBA4A
RBM12
DEDD
PTPN1
SKAP1
PILRB
IFITM3
SLU7
ANAPC11
ATP6V1B2
GLRX3
PGRMC1
TOMM6
DNASE2
LGMN
NTMT1
SDCBP
FAM136A
TOX4
HSPA9
ZBTB1
GTF2F1
GIMAP7
CKLF
MBNL1
SERPINB1
IQGAP1
FOS
6-Mar
ING4
DIAPH1
CORO1A
OS9
SLC4A1AP
COG5
COPS8
NGLY1
NCBP2
GPSM3
LOH12CR2
TNFRSF1B
FAM69A
RBM22
CBWD3
SNRPN
MRPL49
SMU1
ISG20
POLR1D
KRR1
MRPL40
SDF2
RIT1
TMX1
SAP30BP
MEAF6
DSCR3
SPSB3
CD96
DENND1C
DGCR6L
TMEM128
CSNK1G3
FAM162A
ARHGEF6
TGFBR2
CIB1
DRAP1
MYO1F
RAB11A
C19orf60
NDUFA3
SHARPIN
UGP2
CIRBP
GPRIN3
RSRC2
CDC42SE2
EIF2S2
RNF130
SMIM15
RARS
SETX
TMEM2
STX16
WNK1
GSDMD
PPA1
PDHB
CALHM2
CLPP
ATP1B3
CRKL
ANP32B
RASA3
PGD
MPG
DHX36
PHTF2
WAC
CDKAL1
STXBP3
EIF3G
ALDH9A1
RASSF1
PITPNB
SMEK2
BTG3
PAK2
ATP2B1
UBE2J2
GNL2
KLHL24
CBR1
RAB2A
TFIP11
POLR2G
CNBP
HSPB1
G3BP1
AMZ2
MESDC2
GZMM
PAIP1
TCF25
ARL2
PI4KB
OAZ2
ARL4A
KPNA2
CCDC124
GOLGA3
SERPINB9
LAIR1
ALDH2
POLE3
NELFE
HNRNPR
SERPING1
ADI1
WBSCR22
PSMD3
HLA-DRA
NIPBL
ZNF331
HMGN4
EIF3M
ZNF24
PBDC1
FUCA2
IRF3
GMFG
SLAMF1
PHLDA1
KDM5A
LSM12
CST3
WDR6
MIS18BP1
ARL2BP
CD99
GLA
TMED9
PJA2
FUBP1
IL27RA
ASH1L
TMEM140
IFI16
PRPF39
USP4
NCOA3
TMEM212
MTHFD1
BCKDK
CTSB
ZFP36
SIRT2
PGAM1
NGFRAP1
ERCC1
PARK7
WBP1
TUBA1A
RARS2
DPP7
IGFLR1
HYPK
FDFT1
CCDC90B
NELFCD
COX7B
ATP6V1A
TRAPPC5
IL21R
C6orf48
FCAR
CTSK
SMCHD1
CCNDBP1
GLOD4
PRMT1
PIM3
SRRT
DMTF1
PDE4D
ACOT9
LIMS1
PIK3CD
DERL2
ARPC1A
TXNDC12
RPS4Y1
GPR18
ACAA2
ZFAND6
GNA13
STAT1
PTTG1
MRFAP1
CARD16
POGLUT1
RGS1
AGPAT6
BBX
EFEMP1
CYTH4
COMMD8
PTPRC
CCT7
UCHL3
RAB24
SLA2
COL4A2
LUM
ZCCHC6
DTX2
HNRNPD
RBM34
MKNK2
CCR6
PUM2
EMC2
SPPL2A
SFXN1
FAM102A
RNF216
SF3A1
BLVRA
IKBKB
FRG1
SDHAF2
ZNF706
ANKHD1
NISCH
TCEB1
TAX1BP3
ATF2
SLC39A13
ARL6IP5
QTRT1
PHACTR2
DNAJC8
PCMTD1
GTF2B
GUSB
MRPS16
CDK5RAP3
YTHDF2
EGLN2
CNIH4
HTATSF1
NDUFA7
OSBPL9
NUP107
PDE4B
IDH3G
MAPRE2
ARFGAP3
TMEM14B
ADIPOR1
TFPI
DNTTIP2
LCP2
GLS
IL4R
SEC11A
C18orf32
GINM1
ZCCHC11
SYPL1
RPS27L
TATDN3
PDCD1
LAMP2
CAT
C16orf80
CTNND1
NUDCD3
PDZD11
LCP1
IGBP1
PITRM1
GUK1
FGD3
VPS72
CD47
PPIC
IMPDH1
USO1
ICOS
FASTK
LMF2
WDR83OS
MMADHC
RNF181
AFTPH
DDX39B
SNRNP200
LRRC57
RAB18
PHB
ZC3H15
ELK3
SBNO1
ARCN1
HIGD2A
TRAFD1
PGS1
MIEN1
HAVCR2
NME1
IFI27L2
EVL
PYCARD
TMEM176B
COMT
PDLIM5
GPR108
LETMD1
RNASEH1
FAM50A
SLC30A9
YIF1B
NBN
TSTA3
RAC1
AMICA1
TC2N
MATR3
DCK
DOCK2
DPYSL2
SDCCAG8
DNAJB1
CHID1
GNAI2
FAM129A
ILF2
ARHGAP30
PAIP2
ACAT1
RSL24D1
ZC3H7A
ST3GAL1
MTRNR2L1
MRPL24
LMBRD1
RPA2
TNFSF10
SMARCB1
DTX3L
PPAP2A
SLC2A3
WDR43
GNG5
KIF5B
CSDE1
CLPTM1
CPSF3L
GPI
CAMK2D
MRPL54
LAG3
SPTAN1
ACTR1A
PSMG2
PPIG
PARP14
RPS19BP1
UHMK1
TADA3
TIGD1
NR3C1
CORO1B
AASDHPPT
CKS1B
MCM3
ANAPC7
CBLB
CSK
LCK
SMIM12
RHBDD2
GOLGA8A
TWF2
CYC1
TTC39C
OSTM1
STRAP
MAT2B
CCL4L1
CSNK1D
PER2
ARFGAP2
NDUFB6
GABPB1
PRPF38B
CMTM6
LONP2
CCNC
UBAP1
COA1
PSMC1
TFG
ANXA5
BATF
KARS
UBE2G2
PARP1
FAM60A
PRKCSH
HLA-F
TBC1D4
GLUD1
PHIP
SCAPER
SS18
MYD88
PML
CBFB
COMMD4
SERPINH1
LSM6
TPM4
COPS5
HERPUD1
BCL2L11
BPTF
JKAMP
MLLT6
RAP1B
TRIM21
NLRC5
PCF11
TBCA
FNBP4
REEP5
ABI1
HINT2
ENY2
CMPK1
ENSA
PPP2R1A
HNRNPM
RASSF2
AIMP1
DNAJC2
DNPH1
TNFAIP8
LGALS9
SCARB2
APLP2
HDAC2
THBS2
TIMMDC1
GBAS
SPC25
VAMP3
EIF3C
TCIRG1
PARL
GRN
CYP51A1
SNX3
FTSJ1
CYLD
PET100
MGAT4A
CCNH
RRM1
CD5
THUMPD1
SRSF2
GNB5
FYTTD1
LPAR6
TMEM219
BCCIP
ILKAP
HBS1L
TMEM30A
NEDD9
PSMD13
GSTO1
LSM1
PPP2R3C
COX11
NPTN
UPP1
ZNHIT3
SNRPD3
FRG1B
SPCS2
NAPRT1
PFN1
MKI67IP
CLIP1
NUDT5
ATP5C1
ANAPC15
TRPC4AP
LAMA4
RPF1
CEPT1
ZNFX1
ETNK1
MGEA5
ARL17A
LRCH3
HMGA1
CCL3
IRAK4
DDX41
UBE2D2
PSMB10
GABARAPL2
DGCR2
GIT2
